Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns,,,,Date Modified
DRREDDY,DRREDDY.NS,NSE:DRREDDY,-0.03614095499,0.1785796369,0.2538633074,0.5293766776,,,,
HEROMOTOCO,HEROMOTOCO.NS,NSE:HEROMOTOCO,-0.1308783442,0.7899283961,0.7736508994,1.266226857,,,,
CANBK,CANBK.NS,NSE:CANBK,0.1151065971,0.6247167044,5.99598163,1.251431738,,,,
SHREECEM,SHREECEM.NS,NSE:SHREECEM,0.1489040644,0.1513568181,0.5661455826,1.627792637,,,,
MANKIND,MANKIND.NS,NSE:MANKIND,-0.07329115313,0.4541333104,0.4541333104,0.4541333104,,,,
UNIONBANK,UNIONBANK.NS,NSE:UNIONBANK,0.09214454046,0.3623713866,4.733195876,-0.2237297599,,,,
JINDALSTEL,JINDALSTEL.NS,NSE:JINDALSTEL,0.006432720465,0.5078394707,4.961046346,16.98027444,,,,
ZYDUSLIFE,ZYDUSLIFE.NS,NSE:ZYDUSLIFE,-0.0217298274,0.7049805254,1.66848249,1.486163811,,,,
RECLTD,RECLTD.NS,NSE:RECLTD,-0.3064648491,0.4061748937,4.119127743,2.899712879,,,,
IDBI,IDBI.NS,NSE:IDBI,0.02121279431,0.2987288136,1.708394698,0.1624525917,,,,
WAAREEENER,WAAREEENER.NS,NSE:WAAREEENER,0,0,0,0,,,,
HAVELLS,HAVELLS.NS,NSE:HAVELLS,-0.247781834,0.1137600229,1.360518929,5.32655551,,,,
UNITDSPR,UNITDSPR.NS,NSE:UNITDSPR,-0.1786860689,-0.1786860689,-0.1786860689,-0.1786860689,,,,
GMRAIRPORT,GMRAIRPORT.NS,NSE:GMRAIRPORT,-0.05515939597,0.5401709402,2.834042553,5.851711027,,,,
JSWENERGY,JSWENERGY.NS,NSE:JSWENERGY,-0.3186367668,0.2769796984,8.28041415,5.202998847,,,,
INDIANB,INDIANB.NS,NSE:INDIANB,0.3434840174,0.648410304,11.89110708,4.338594513,,,,
BAJAJHFL,BAJAJHFL.NS,NSE:BAJAJHFL,-0.2978321149,-0.2978321149,-0.2978321149,-0.2978321149,,,,
INDUSTOWER,INDUSTOWER.NS,NSE:INDUSTOWER,-0.1050336407,0.9298764105,0.9298764105,0.9298764105,,,,
ICICIGI,ICICIGI.NS,NSE:ICICIGI,-0.155705301,0.4281697633,0.4797842605,0.4797842605,,,,
MARICO,MARICO.NS,NSE:MARICO,0.005389306481,0.2247753974,1.005374823,2.564460981,,,,
DABUR,DABUR.NS,NSE:DABUR,-0.2135396813,-0.06945697276,0.04709703613,0.8787106174,,,,
NAUKRI,NAUKRI.NS,NSE:NAUKRI,-0.1550907314,0.6031591424,0.9797689956,7.564890282,,,,
LUPIN,LUPIN.NS,NSE:LUPIN,-0.09105269096,0.8135158255,1.01621784,-0.009905857483,,,,
IDEA,IDEA.NS,NSE:IDEA,-0.1836925961,-0.2292035398,-0.154368932,-0.8990144928,,,,
BSE,BSE.NS,NSE:BSE,0.5496110709,4.109984341,33.39685461,33.39685461,,,,
ICICIPRULI,ICICIPRULI.NS,NSE:ICICIPRULI,-0.2283743715,0.0359120803,0.4428106545,0.4428106545,,,,
NHPC,NHPC.NS,NSE:NHPC,-0.06184463942,0.6780861244,3.329876543,4.362691131,,,,
HINDPETRO,HINDPETRO.NS,NSE:HINDPETRO,0.01881817092,1.448579824,2.569328966,2.692441355,,,,
NTPCGREEN,NTPCGREEN.NS,NSE:NTPCGREEN,0,0,0,0,,,,
SRF,SRF.NS,NSE:SRF,0.1908735868,0.2941386705,2.546349346,11.90851566,,,,
ATGL,ATGL.NS,NSE:ATGL,-0.1590503721,0.07780230175,0.07780230175,0.07780230175,,,,
POWERINDIA,POWERINDIA.NS,NSE:POWERINDIA,0.4898645613,3.558090617,19.31318242,19.31318242,,,,
BHARTIHEXA,BHARTIHEXA.NS,NSE:BHARTIHEXA,0.2347997662,0.2347997662,0.2347997662,0.2347997662,,,,
BHEL,BHEL.NS,NSE:BHEL,-0.1638972542,0.8841516966,6.827197347,0.8139123751,,,,
SBICARD,SBICARD.NS,NSE:SBICARD,0.1410987884,0.1303022606,0.09599162613,0.09599162613,,,,
POLICYBZR,POLICYBZR.NS,NSE:POLICYBZR,-0.04826648538,1.357696194,1.357696194,1.357696194,,,,
PERSISTENT,PERSISTENT.NS,NSE:PERSISTENT,-0.0353497866,0.757033542,7.52450683,14.29420418,,,,
SUZLON,SUZLON.NS,NSE:SUZLON,-0.3110156343,1.263921569,19.61785714,2.11212938,,,,
ASHOKLEY,ASHOKLEY.NS,NSE:ASHOKLEY,0.187863464,0.5448865505,2.694364351,2.112632509,,,,
OFSS,OFSS.NS,NSE:OFSS,-0.2226139295,1.18738281,2.025820379,1.348738732,,,,
GVT&D,GVT&D.NS,NSE:GVT&D,0.9515651166,6.748369774,35.00713012,4.969267139,,,,
PIDILITIND,PIDILITIND.NS,NSE:PIDILITIND,-0.07958812395,0.2047304069,1.126822364,4.425528074,,,,
IOB,IOB.NS,NSE:IOB,-0.3407989303,-0.09333333333,3.195744681,0.08054794521,,,,
PAYTM,PAYTM.NS,NSE:PAYTM,0.6695792643,0.3399728917,0.3399728917,0.3399728917,,,,
UNOMINDA,UNOMINDA.NS,NSE:UNOMINDA,0.1437719033,1.201715666,7.271589487,76.16287215,,,,
ABCAPITAL,ABCAPITAL.NS,NSE:ABCAPITAL,0.2558529146,0.6559048428,3.651551313,3.651551313,,,,
RVNL,RVNL.NS,NSE:RVNL,-0.3328266033,1.067726737,17.14470284,17.14470284,,,,
FORTIS,FORTIS.NS,NSE:FORTIS,0.590301706,1.848133654,5.898651112,4.502471649,,,,
PRESTIGE,PRESTIGE.NS,NSE:PRESTIGE,-0.1648163506,1.560485524,5.387070376,6.373641946,,,,
VMM,VMM.NS,NSE:VMM,0,0,0,0,,,,
NYKAA,NYKAA.NS,NSE:NYKAA,0.1952596511,0.6485443704,0.6485443704,0.6485443704,,,,
JSWINFRA,JSWINFRA.NS,NSE:JSWINFRA,-0.03281272389,-0.03281272389,-0.03281272389,-0.03281272389,,,,
LLOYDSME,LLOYDSME.NS,NSE:LLOYDSME,0.4927329724,1.468658686,1.468658686,1.468658686,,,,
NMDC,NMDC.NS,NSE:NMDC,0.03282422294,0.6161425577,1.916761256,1.474799358,,,,
COROMANDEL,COROMANDEL.NS,NSE:COROMANDEL,0.3680918877,1.040816327,1.881388132,13.26779555,,,,
OIL,OIL.NS,NSE:OIL,-0.2912588593,1.265372168,6.204116638,1.986560478,,,,
YESBANK,YESBANK.NS,NSE:YESBANK,-0.06274509804,0.2326647564,0.6112359551,-0.8526510481,,,,
ALKEM,ALKEM.NS,NSE:ALKEM,-0.08720314877,0.5521871792,0.9695969454,0.9695969454,,,,
PATANJALI,PATANJALI.NS,NSE:PATANJALI,0.04438779074,0.4071947863,0.4071947863,0.4071947863,,,,
JSL,JSL.NS,NSE:JSL,0.01712176182,0.8032046942,17.71194379,19.72632944,,,,
TIINDIA,TIINDIA.NS,NSE:TIINDIA,-0.2405648146,0.004411604234,4.652425651,4.652425651,,,,
AUROPHARMA,AUROPHARMA.NS,NSE:AUROPHARMA,-0.2626319821,0.2669833457,0.4336225877,0.4821906802,,,,
MRF,MRF.NS,NSE:MRF,0.1011297918,0.3876163357,1.640900987,2.679416725,,,,
HDBFS,HDBFS.NS,NSE:HDBFS,0,0,0,0,,,,
SCHAEFFLER,SCHAEFFLER.NS,NSE:SCHAEFFLER,0.03603353366,0.3316780266,4.704572946,3.940693376,,,,
ABBOTINDIA,ABBOTINDIA.NS,NSE:ABBOTINDIA,0.0776586671,0.3443322819,0.8752598112,4.354458092,,,,
FACT,FACT.NS,NSE:FACT,-0.008531383303,0.8151729267,21.64965197,50.24409449,,,,
TORNTPOWER,TORNTPOWER.NS,NSE:TORNTPOWER,-0.3385370438,0.7643618132,3.070361446,6.059905266,,,,
