Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns
METROBRAND,METROBRAND.NS,NSE:METROBRAND,0.03666964794,0.1941556617,#N/A,#N/A
TATAELXSI,TATAELXSI.NS,NSE:TATAELXSI,-0.290182561,-0.234976437,3.68013468,4.909047432
KPITTECH,KPITTECH.NS,NSE:KPITTECH,-0.2611495068,0.1898782344,10.26846847,#N/A
COHANCE,COHANCE.NS,NSE:COHANCE,#N/A,#N/A,#N/A,#N/A
EXIDEIND,EXIDEIND.NS,NSE:EXIDEIND,-0.1435848456,0.5585168019,1.607431341,1.587367746
CENTRALBK,CENTRALBK.NS,NSE:CENTRALBK,-0.3842156544,-0.2416,1.284337349,-0.5324290999
3MINDIA,3MINDIA.NS,NSE:3MINDIA,-0.16058497,-0.06004925355,0.6218908994,1.722910287
ASTERDM,ASTERDM.NS,NSE:ASTERDM,0.5143838049,0.9461433136,3.809022556,#N/A
GLAND,GLAND.NS,NSE:GLAND,0.09143104756,0.214001687,#N/A,#N/A
INOXWIND,INOXWIND.NS,NSE:INOXWIND,-0.4020874155,2.157094595,15.55813953,0.7379983727
